epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9347,1.40035,7.99819,1.43948,0.45151,0.54352,0.40139,0.23669,1.86869,11.6054,1.79897,0.0803131,0.000198857,0.000198857
2,23.1096,1.32543,7.77037,1.38178,0.65119,0.55444,0.45335,0.25167,1.68655,9.01181,1.64383,0.0605092,0.000394908,0.000394908
3,34.1459,1.28973,7.02542,1.35717,0.54824,0.40608,0.37529,0.21316,1.60256,10.4244,1.55813,0.0407013,0.000587,0.000587
4,45.1229,1.40841,7.90685,1.43962,0.57113,0.45362,0.39373,0.21995,1.80173,10.1928,1.71393,0.0208894,0.000775131,0.000775131
5,56.0808,1.31986,7.36303,1.38685,0.53287,0.47458,0.38805,0.19545,1.83475,11.5138,1.72278,0.00107359,0.000959302,0.000959302
6,67.229,1.40371,8.07464,1.43258,0.6173,0.35839,0.34118,0.17806,1.79826,12.8467,1.68924,0.0009505,0.0009505,0.0009505
7,78.8258,1.30141,7.213,1.34887,0.63151,0.46931,0.41645,0.22829,1.71495,9.84014,1.58722,0.0009406,0.0009406,0.0009406
8,89.9616,1.35725,7.65336,1.39446,0.63621,0.43338,0.36542,0.19679,1.71533,10.0778,1.60557,0.0009307,0.0009307,0.0009307
9,100.979,1.34736,7.37953,1.41341,0.36883,0.46603,0.35738,0.18985,1.80836,10.6276,1.69917,0.0009208,0.0009208,0.0009208
10,112.131,1.33511,7.38203,1.38049,0.55377,0.50414,0.44231,0.24469,1.72151,9.45625,1.61084,0.0009109,0.0009109,0.0009109
11,123.007,1.2905,7.07984,1.36889,0.57187,0.49534,0.42174,0.23096,1.77962,9.29793,1.65975,0.000901,0.000901,0.000901
12,133.253,1.32414,6.72762,1.38328,0.72583,0.43263,0.39925,0.21221,1.78782,10.0336,1.66307,0.0008911,0.0008911,0.0008911
13,144.055,1.30213,7.10403,1.38544,0.56138,0.45445,0.4007,0.20353,1.85791,9.51315,1.73449,0.0008812,0.0008812,0.0008812
14,150.03,1.27987,6.89574,1.39158,0.45488,0.48922,0.45423,0.2347,1.80899,9.53222,1.70273,0.0008713,0.0008713,0.0008713
15,155.78,1.25109,6.88226,1.40206,0.32102,0.45674,0.47853,0.25897,1.92042,11.3708,1.78852,0.0008614,0.0008614,0.0008614
16,161.918,1.22247,6.69341,1.35281,0.57053,0.4481,0.41701,0.21228,1.76068,10.2489,1.70204,0.0008515,0.0008515,0.0008515
17,167.95,1.25109,6.81987,1.3261,0.55858,0.46471,0.42567,0.223,1.8454,10.2625,1.79569,0.0008416,0.0008416,0.0008416
18,173.184,1.28728,6.82855,1.37351,0.6647,0.35537,0.33683,0.1792,1.92045,11.0233,1.91671,0.0008317,0.0008317,0.0008317
19,179.137,1.30558,6.94306,1.38706,0.57559,0.47195,0.42762,0.20377,1.92248,9.77685,1.76023,0.0008218,0.0008218,0.0008218
20,185.219,1.25281,6.59469,1.3651,0.66843,0.38603,0.36501,0.18849,1.78387,10.6451,1.69551,0.0008119,0.0008119,0.0008119
