epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79657,1.83722,13.5527,1.87676,0,0,0,0,1.93311,4.04677,2.06183,0.0677333,0.000325926,0.000325926
2,7.19906,1.61845,9.56451,1.57781,0.04167,0.02381,0.04193,0.00936,1.88229,3.87198,2.028,0.0347268,0.000652733,0.000652733
3,10.6562,1.85699,8.76136,1.7573,0.0163,0.26587,0.02929,0.01066,1.90278,3.69448,2.01527,0.00171368,0.000972939,0.000972939
4,14.0641,1.80103,8.83615,1.72208,0.00518,0.34921,0.10768,0.03388,2.08593,3.77593,2.46567,0.0009703,0.0009703,0.0009703
5,17.5312,1.89789,7.26569,1.82176,0.85666,0.08333,0.10582,0.03259,1.97096,9.53791,2.23418,0.0009604,0.0009604,0.0009604
6,20.9491,1.97401,7.73514,1.9713,0.00114,0.43651,0.00998,0.00287,1.88768,8.63214,1.96659,0.0009505,0.0009505,0.0009505
7,24.5117,1.75869,7.0764,1.79189,0.00187,0.54762,0.01282,0.00568,1.71799,4.40295,1.77861,0.0009406,0.0009406,0.0009406
8,27.9399,1.71037,7.10755,1.8324,0.00154,0.51587,0.00757,0.0021,2.16996,35.7079,2.56776,0.0009307,0.0009307,0.0009307
9,31.3243,1.68357,7.21768,1.78054,0.00191,0.46032,0.00331,0.00155,1.96273,4.80469,2.00839,0.0009208,0.0009208,0.0009208
10,34.9241,1.76916,5.46589,1.739,0.0033,0.05556,0.00711,0.00293,1.86928,4.36037,1.99688,0.0009109,0.0009109,0.0009109
11,38.3879,1.84139,6.5689,1.91139,0.01708,0.19444,0.02339,0.00477,2.0288,3.73849,1.99619,0.000901,0.000901,0.000901
12,41.8805,1.91803,6.06682,1.86282,0.53106,0.16667,0.05733,0.01226,1.85587,5.37271,1.93802,0.0008911,0.0008911,0.0008911
13,45.3131,1.73941,6.07588,1.6969,0.00802,0.38095,0.04393,0.01785,2.12861,3.59445,2.06337,0.0008812,0.0008812,0.0008812
14,48.7479,1.51522,6.27983,1.57133,0.16475,0.13889,0.09104,0.0327,1.94794,3.57927,2.09563,0.0008713,0.0008713,0.0008713
15,52.2001,1.70795,5.32146,1.68899,0.6301,0.16667,0.24359,0.08036,1.71092,3.35475,1.81027,0.0008614,0.0008614,0.0008614
16,55.5399,1.57482,5.28355,1.64734,0.45748,0.11111,0.17415,0.10303,1.60527,2.91928,1.71402,0.0008515,0.0008515,0.0008515
17,58.8699,1.60469,5.1288,1.65325,0.55355,0.05556,0.0712,0.02452,1.59229,3.02021,1.6346,0.0008416,0.0008416,0.0008416
18,62.225,1.63473,4.84916,1.70532,0.38583,0.13889,0.09155,0.04539,1.57341,3.96644,1.61264,0.0008317,0.0008317,0.0008317
19,65.6186,1.6148,4.54244,1.6823,0.16271,0.21825,0.14187,0.06598,1.69116,3.19409,1.68098,0.0008218,0.0008218,0.0008218
20,68.9569,1.50158,3.97249,1.59779,0.15319,0.28281,0.16014,0.06563,1.7563,2.87746,1.73136,0.0008119,0.0008119,0.0008119
21,72.3678,1.4468,3.89644,1.49375,0.08177,0.24206,0.09853,0.058,1.62308,2.95954,1.682,0.000802,0.000802,0.000802
22,75.7,1.42587,4.24402,1.44564,0.23085,0.1627,0.08063,0.03758,1.54472,3.13123,1.63805,0.0007921,0.0007921,0.0007921
23,79.103,1.57928,3.57584,1.62153,0.16463,0.13492,0.09462,0.05544,1.66941,3.27255,1.75607,0.0007822,0.0007822,0.0007822
24,82.5404,1.62808,3.78801,1.67768,0.17919,0.08917,0.12657,0.04619,1.79136,3.28945,1.88052,0.0007723,0.0007723,0.0007723
25,85.8757,1.52129,3.69038,1.5773,0.41358,0.3254,0.20348,0.10342,1.59698,2.58617,1.73845,0.0007624,0.0007624,0.0007624
26,89.2094,1.45842,3.39186,1.58541,0.18395,0.3254,0.20389,0.08556,1.56837,2.58729,1.65878,0.0007525,0.0007525,0.0007525
27,92.607,1.62816,3.65239,1.65412,0.26714,0.2619,0.12087,0.06854,1.68584,2.88496,1.7477,0.0007426,0.0007426,0.0007426
28,96.1572,1.55722,3.53397,1.67911,0.33469,0.07937,0.14238,0.08476,1.61454,2.62014,1.77218,0.0007327,0.0007327,0.0007327
29,99.4736,1.48802,3.2934,1.62453,0.20104,0.0744,0.07782,0.03261,1.53675,2.99328,1.69309,0.0007228,0.0007228,0.0007228
30,102.819,1.48059,3.1041,1.6064,0.3555,0.10317,0.12043,0.06754,1.58219,2.9914,1.66755,0.0007129,0.0007129,0.0007129
31,106.157,1.44537,3.07777,1.5803,0.55311,0.10468,0.13175,0.0506,1.7783,3.98488,1.79653,0.000703,0.000703,0.000703
32,109.725,1.51701,2.89215,1.66647,0.24868,0.36905,0.11973,0.0563,1.73408,2.95144,1.81893,0.0006931,0.0006931,0.0006931
33,113.093,1.52537,2.83739,1.67588,0.2452,0.22313,0.11196,0.04988,1.39925,2.73115,1.5868,0.0006832,0.0006832,0.0006832
34,116.482,1.48459,2.86379,1.64135,0.27851,0.21032,0.13001,0.06294,1.40352,2.74996,1.57238,0.0006733,0.0006733,0.0006733
35,119.824,1.38347,3.47409,1.52441,0.53033,0.18343,0.12497,0.05708,1.48434,3.45261,1.61334,0.0006634,0.0006634,0.0006634
36,123.184,1.54588,2.97352,1.64113,0.23679,0.24206,0.132,0.07742,1.41009,2.87631,1.57909,0.0006535,0.0006535,0.0006535
37,126.563,1.58307,3.21223,1.64496,0.2287,0.18651,0.11768,0.05397,1.60409,3.0909,1.68363,0.0006436,0.0006436,0.0006436
38,129.922,1.30577,2.81358,1.45035,0.31226,0.21429,0.17076,0.06624,1.6143,2.79311,1.67802,0.0006337,0.0006337,0.0006337
39,133.255,1.21246,2.42688,1.34943,0.32728,0.15873,0.17499,0.08136,1.67358,2.9567,1.69768,0.0006238,0.0006238,0.0006238
40,136.637,1.31418,2.80409,1.42136,0.26153,0.1746,0.1661,0.09,1.50176,2.96686,1.61743,0.0006139,0.0006139,0.0006139
41,140.014,1.42775,2.69657,1.63715,0.2507,0.19841,0.15996,0.06646,1.56001,2.90996,1.62279,0.000604,0.000604,0.000604
42,143.398,1.43489,2.87208,1.55357,0.26682,0.1746,0.14976,0.06576,1.70054,2.68939,1.74611,0.0005941,0.0005941,0.0005941
43,146.797,1.53133,2.79877,1.55547,0.60946,0.09524,0.1744,0.07003,1.59868,2.89045,1.67852,0.0005842,0.0005842,0.0005842
44,150.347,1.28444,2.77786,1.34568,0.45763,0.15079,0.15458,0.06022,1.56055,3.01511,1.61226,0.0005743,0.0005743,0.0005743
45,153.665,1.42636,2.82906,1.49857,0.44092,0.1746,0.27852,0.12886,1.65282,2.85301,1.69851,0.0005644,0.0005644,0.0005644
46,157.011,1.42509,2.7392,1.51453,0.34263,0.24269,0.25798,0.12549,1.52144,2.79916,1.63438,0.0005545,0.0005545,0.0005545
47,160.336,1.47854,2.76731,1.59085,0.37624,0.12698,0.14464,0.07644,1.36949,2.73349,1.5155,0.0005446,0.0005446,0.0005446
48,163.75,1.16912,2.32794,1.37298,0.34419,0.21166,0.18386,0.09788,1.33673,2.60069,1.46591,0.0005347,0.0005347,0.0005347
49,167.086,1.37644,2.50121,1.43728,0.27465,0.31349,0.15738,0.08328,1.3296,2.99971,1.4446,0.0005248,0.0005248,0.0005248
50,170.488,1.30893,2.39077,1.43938,0.4163,0.29892,0.24976,0.12214,1.47492,2.96007,1.56354,0.0005149,0.0005149,0.0005149
51,173.808,1.2685,2.61531,1.35094,0.38002,0.25794,0.19432,0.12135,1.5917,3.15188,1.64823,0.000505,0.000505,0.000505
52,177.228,1.50104,2.98168,1.65659,0.48997,0.26587,0.24395,0.11184,1.55081,2.93212,1.63451,0.0004951,0.0004951,0.0004951
53,180.665,1.26992,2.26727,1.45024,0.29555,0.21032,0.16119,0.08299,1.52302,2.9435,1.55678,0.0004852,0.0004852,0.0004852
54,184.051,1.25927,2.2991,1.43424,0.35754,0.3373,0.22063,0.11502,1.56494,2.54229,1.5955,0.0004753,0.0004753,0.0004753
55,187.402,1.49792,2.4188,1.60377,0.3847,0.28866,0.20436,0.10303,1.50195,2.65474,1.54618,0.0004654,0.0004654,0.0004654
56,190.798,1.25874,2.23144,1.43033,0.34472,0.31349,0.20653,0.09388,1.47802,2.58853,1.52211,0.0004555,0.0004555,0.0004555
57,194.117,1.18275,2.06135,1.30711,0.52305,0.17253,0.19968,0.08912,1.62113,2.58911,1.69282,0.0004456,0.0004456,0.0004456
58,197.457,1.19235,2.20389,1.33776,0.43678,0.17011,0.16715,0.06415,1.5713,2.94058,1.70459,0.0004357,0.0004357,0.0004357
59,200.789,1.23055,2.33835,1.45432,0.2626,0.28633,0.17431,0.07342,1.45691,3.704,1.57662,0.0004258,0.0004258,0.0004258
60,204.25,1.16841,2.06028,1.26624,0.42858,0.22641,0.22352,0.12695,1.43458,3.16149,1.50205,0.0004159,0.0004159,0.0004159
61,207.589,1.28535,1.99941,1.42678,0.44038,0.23016,0.24956,0.13443,1.44298,2.93577,1.48033,0.000406,0.000406,0.000406
