epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,123.19,1.62592,3.05891,1.6138,0.61415,0.14686,0.21656,0.11607,1.49808,2.45685,1.49351,0.0005941,0.0005941,0.0005941
43,126.253,1.51007,3.00825,1.42374,0.23883,0.15079,0.19178,0.08502,1.55239,2.66507,1.51614,0.0005842,0.0005842,0.0005842
44,129.141,1.35412,2.63828,1.36518,0.29241,0.27414,0.148,0.06949,1.45291,2.43526,1.50544,0.0005743,0.0005743,0.0005743
45,132.047,1.41821,2.75443,1.47243,0.29589,0.2857,0.14197,0.07274,1.48432,3.44006,1.52934,0.0005644,0.0005644,0.0005644
46,134.954,1.47886,2.87195,1.60035,0.25061,0.1914,0.14298,0.05318,1.58766,2.88024,1.5863,0.0005545,0.0005545,0.0005545
47,137.875,1.44596,2.53337,1.44027,0.29299,0.19549,0.17569,0.07363,1.46821,2.71998,1.57587,0.0005446,0.0005446,0.0005446
48,140.781,1.32805,2.56438,1.38467,0.3301,0.19049,0.1989,0.10162,1.43299,2.58089,1.51266,0.0005347,0.0005347,0.0005347
49,143.665,1.27899,2.44538,1.25824,0.25614,0.1746,0.17531,0.09114,1.52313,2.58115,1.5184,0.0005248,0.0005248,0.0005248
50,146.586,1.39427,2.25352,1.50163,0.37417,0.12651,0.16809,0.08046,1.57904,2.55969,1.55697,0.0005149,0.0005149,0.0005149
51,149.507,1.36414,2.31337,1.41174,0.57295,0.1582,0.18807,0.07987,1.58067,2.48424,1.55034,0.000505,0.000505,0.000505
52,152.461,1.58443,2.813,1.69342,0.36114,0.32143,0.24033,0.10624,1.57012,2.55093,1.5623,0.0004951,0.0004951,0.0004951
53,155.387,1.41437,2.36646,1.54458,0.39629,0.42857,0.25993,0.11583,1.59467,2.81508,1.58063,0.0004852,0.0004852,0.0004852
54,158.296,1.17966,2.48403,1.33193,0.39858,0.34921,0.22035,0.10529,1.51377,2.67116,1.53774,0.0004753,0.0004753,0.0004753
55,161.213,1.35723,2.35878,1.4433,0.34556,0.45238,0.25649,0.1165,1.50231,2.95627,1.53668,0.0004654,0.0004654,0.0004654
56,164.167,1.4974,2.38129,1.49464,0.34285,0.39286,0.27372,0.12822,1.43598,2.58592,1.50676,0.0004555,0.0004555,0.0004555
57,167.097,1.25113,1.94642,1.40003,0.50215,0.28829,0.25126,0.1061,1.50953,2.95767,1.58558,0.0004456,0.0004456,0.0004456
58,169.986,1.34876,2.28003,1.38165,0.50839,0.28968,0.28465,0.10805,1.60532,3.50697,1.61948,0.0004357,0.0004357,0.0004357
59,172.9,1.38549,2.31945,1.48274,0.29633,0.47619,0.23203,0.08938,1.54994,2.86831,1.58004,0.0004258,0.0004258,0.0004258
60,175.95,1.27014,1.9694,1.27907,0.27212,0.42063,0.17387,0.07524,1.53529,3.0716,1.53791,0.0004159,0.0004159,0.0004159
61,178.844,1.4014,2.12077,1.41882,0.29584,0.4664,0.23571,0.1154,1.53876,3.20166,1.5586,0.000406,0.000406,0.000406
62,181.758,1.22002,2.34606,1.28256,0.3358,0.30624,0.28002,0.12476,1.51739,3.68774,1.53228,0.0003961,0.0003961,0.0003961
63,184.677,1.39748,2.28354,1.47882,0.32227,0.22458,0.24598,0.11664,1.53131,2.55473,1.52048,0.0003862,0.0003862,0.0003862
64,187.618,1.32941,1.89873,1.3906,0.52923,0.15079,0.21594,0.10184,1.53925,2.61176,1.52673,0.0003763,0.0003763,0.0003763
65,190.517,1.11718,1.97746,1.20689,0.29566,0.15079,0.22786,0.11913,1.51161,3.22541,1.4958,0.0003664,0.0003664,0.0003664
66,193.419,1.06552,1.90023,1.16278,0.54453,0.15079,0.2262,0.1191,1.48041,3.13484,1.48167,0.0003565,0.0003565,0.0003565
67,196.355,1.34961,2.13731,1.43383,0.31244,0.30952,0.24263,0.12419,1.46728,2.86133,1.45633,0.0003466,0.0003466,0.0003466
68,199.259,1.24272,1.95788,1.34048,0.62457,0.1746,0.269,0.13354,1.51527,2.71213,1.45026,0.0003367,0.0003367,0.0003367
69,202.217,1.39079,2.08165,1.40988,0.42863,0.22155,0.29194,0.14081,1.56665,2.58095,1.4769,0.0003268,0.0003268,0.0003268
70,205.164,1.33275,2.07977,1.37154,0.34884,0.25824,0.26131,0.14308,1.56656,3.13728,1.49551,0.0003169,0.0003169,0.0003169
71,208.062,1.09758,1.72016,1.21579,0.3225,0.3373,0.22916,0.13057,1.48176,4.03318,1.41958,0.000307,0.000307,0.000307
72,210.993,1.09487,1.60418,1.25422,0.33179,0.21907,0.22245,0.13709,1.35093,4.59794,1.35801,0.0002971,0.0002971,0.0002971
73,213.931,1.21662,1.74956,1.42213,0.31802,0.25397,0.22673,0.1353,1.31269,3.03311,1.33659,0.0002872,0.0002872,0.0002872
74,216.847,1.2404,1.79423,1.28995,0.35209,0.22669,0.25561,0.14475,1.31581,2.78162,1.34208,0.0002773,0.0002773,0.0002773
75,219.759,1.28302,2.1293,1.38769,0.35475,0.29874,0.28324,0.14804,1.31736,2.62624,1.3345,0.0002674,0.0002674,0.0002674
76,222.813,1.21455,1.85459,1.35985,0.13251,0.46799,0.26731,0.14832,1.35515,2.8922,1.35267,0.0002575,0.0002575,0.0002575
77,225.737,1.46427,2.16259,1.53745,0.13122,0.52942,0.26305,0.15114,1.3999,3.47014,1.38305,0.0002476,0.0002476,0.0002476
78,228.643,0.98708,1.61742,1.14501,0.16137,0.51532,0.26086,0.13394,1.37927,4.24998,1.40222,0.0002377,0.0002377,0.0002377
79,231.542,1.12667,1.68386,1.26176,0.32736,0.38525,0.24317,0.1295,1.36118,4.83219,1.41705,0.0002278,0.0002278,0.0002278
80,234.426,1.45681,2.04931,1.48938,0.36056,0.32603,0.26853,0.14623,1.45275,4.16086,1.47262,0.0002179,0.0002179,0.0002179
81,237.352,1.3155,1.89767,1.40878,0.5542,0.20635,0.25917,0.14124,1.42647,2.88736,1.47333,0.000208,0.000208,0.000208
