epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8243,1.93638,22.1887,1.78503,0.47823,0.13215,0.13589,0.06501,1.91343,28.3967,2.06457,0.080425,0.000197727,0.000197727
2,8.9036,1.90516,15.3677,1.78441,0.59779,0.14122,0.12937,0.06726,1.81937,23.1223,1.80027,0.0606211,0.00039379,0.00039379
3,12.8098,1.82142,13.8387,1.71982,0.72879,0.19478,0.20316,0.10261,1.99703,17.7437,2.02864,0.0408132,0.000585892,0.000585892
4,16.825,1.87615,13.9904,1.80972,0.69942,0.17943,0.19021,0.08702,2.01274,40.6636,2.01637,0.0210013,0.000774035,0.000774035
5,20.8264,1.87429,13.1257,1.77795,0.43403,0.17266,0.23692,0.10951,1.97565,17.6097,2.04217,0.00118549,0.000958217,0.000958217
6,25.2401,1.87644,13.27,1.78219,0.31182,0.34244,0.24361,0.08914,2.08069,18.1406,2.09159,0.0009505,0.0009505,0.0009505
7,29.954,1.77188,11.9748,1.66909,0.63232,0.21048,0.18207,0.09598,1.87361,18.0496,1.819,0.0009406,0.0009406,0.0009406
8,83.6903,1.78221,11.566,1.73595,0.4827,0.29596,0.18581,0.08069,2.05052,17.0078,2.0154,0.0009307,0.0009307,0.0009307
9,88.2347,1.77222,11.7473,1.71473,0.47751,0.33252,0.30361,0.15149,1.80191,13.8026,1.77669,0.0009208,0.0009208,0.0009208
10,141.199,1.72367,10.5012,1.65835,0.50238,0.34794,0.27915,0.15465,1.7462,13.7512,1.76382,0.0009109,0.0009109,0.0009109
11,170.816,1.69076,10.435,1.66422,0.54903,0.338,0.30222,0.15734,1.83949,12.5638,1.78958,0.000901,0.000901,0.000901
12,177.7,1.74847,10.4072,1.65814,0.74927,0.15756,0.28528,0.15168,1.88603,13.6905,1.82752,0.0008911,0.0008911,0.0008911
13,182.597,1.70209,10.109,1.65592,0.66695,0.34324,0.34619,0.16631,1.84077,11.9527,1.80969,0.0008812,0.0008812,0.0008812
14,187.781,1.64453,9.60371,1.64289,0.68365,0.31995,0.32282,0.17751,1.7585,13.1494,1.76489,0.0008713,0.0008713,0.0008713
15,191.975,1.62871,9.86735,1.63789,0.62483,0.34652,0.32924,0.16512,1.87722,11.7003,1.85091,0.0008614,0.0008614,0.0008614
16,196.573,1.59043,9.47715,1.59658,0.51748,0.33871,0.29535,0.16298,1.71718,13.2591,1.73308,0.0008515,0.0008515,0.0008515
17,200.298,1.6032,9.74825,1.59627,0.48167,0.39039,0.33084,0.18035,1.73036,11.7647,1.70474,0.0008416,0.0008416,0.0008416
