epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85368,2.00501,22.2106,1.84272,0.23169,0.28223,0.1953,0.09778,1.69688,16.2795,1.58562,0.080425,0.000197727,0.000197727
2,8.72191,1.89198,16.0368,1.73229,0.25062,0.27702,0.13211,0.04844,1.97875,22.3202,2.04135,0.0606211,0.00039379,0.00039379
3,12.6012,1.90503,14.3937,1.79363,0.86383,0.10179,0.20445,0.09587,1.88344,21.5148,1.9141,0.0408132,0.000585892,0.000585892
4,16.4794,1.97331,14.4103,1.86457,0.41772,0.13482,0.1611,0.08728,1.90798,22.593,1.92455,0.0210013,0.000774035,0.000774035
5,20.2537,1.89738,13.19,1.78968,0.69905,0.18607,0.20941,0.09927,1.86193,20.6993,1.82054,0.00118549,0.000958217,0.000958217
6,24.1944,1.83637,12.8567,1.73914,0.48139,0.31086,0.22208,0.10794,1.96742,24.6256,1.95874,0.0009505,0.0009505,0.0009505
7,28.0468,1.8393,12.6795,1.75343,0.44464,0.24533,0.16236,0.0868,1.99862,17.4738,2.04804,0.0009406,0.0009406,0.0009406
8,31.9365,1.79702,12.2125,1.72986,0.47818,0.32622,0.26391,0.13153,1.82254,17.9098,1.86514,0.0009307,0.0009307,0.0009307
9,36.3752,1.79171,12.2917,1.73473,0.56533,0.32453,0.26972,0.13932,1.91256,15.3885,1.95303,0.0009208,0.0009208,0.0009208
10,40.4235,1.71321,10.9918,1.6539,0.61581,0.28381,0.30094,0.13767,1.91131,13.7901,1.94,0.0009109,0.0009109,0.0009109
11,44.4542,1.73657,10.6725,1.69537,0.55185,0.22074,0.23553,0.12994,1.73037,13.7586,1.74199,0.000901,0.000901,0.000901
12,48.2824,1.69402,10.6245,1.63249,0.64375,0.27886,0.30918,0.15595,1.85706,13.6378,1.84951,0.0008911,0.0008911,0.0008911
13,52.1288,1.66203,10.1987,1.63083,0.59375,0.32417,0.28169,0.14426,1.83455,12.6876,1.80763,0.0008812,0.0008812,0.0008812
14,55.9236,1.66258,10.088,1.63936,0.63401,0.34882,0.36288,0.19191,1.70102,11.5705,1.65916,0.0008713,0.0008713,0.0008713
15,59.9203,1.61874,9.99312,1.6571,0.59571,0.37305,0.26174,0.15168,1.82592,12.3261,1.84529,0.0008614,0.0008614,0.0008614
16,63.7591,1.56788,9.66723,1.59541,0.76602,0.31483,0.38676,0.22231,1.56641,11.9027,1.6397,0.0008515,0.0008515,0.0008515
17,67.6414,1.57122,9.37203,1.58428,0.6482,0.3429,0.35076,0.18805,1.78928,11.6437,1.87169,0.0008416,0.0008416,0.0008416
18,71.4872,1.57037,9.24989,1.56413,0.61159,0.40624,0.34082,0.17774,1.79591,12.0275,1.80275,0.0008317,0.0008317,0.0008317
19,75.4246,1.53974,9.24385,1.54875,0.58825,0.25512,0.27415,0.13186,1.92773,14.2371,1.94524,0.0008218,0.0008218,0.0008218
20,79.3139,1.50241,9.23291,1.54743,0.64361,0.43246,0.50169,0.25467,1.80963,10.2476,1.78718,0.0008119,0.0008119,0.0008119
21,83.3084,1.487,8.85848,1.53188,0.65339,0.43417,0.50425,0.26848,1.59108,10.2026,1.65228,0.000802,0.000802,0.000802
22,87.2559,1.48151,8.29465,1.51785,0.63629,0.35444,0.31119,0.13861,1.98995,12.7711,2.01516,0.0007921,0.0007921,0.0007921
23,91.065,1.4865,8.63169,1.52108,0.60444,0.51716,0.40144,0.20816,1.67336,10.8371,1.73287,0.0007822,0.0007822,0.0007822
24,94.9147,1.46247,8.41078,1.53578,0.64188,0.40189,0.34195,0.18685,1.68494,10.7641,1.663,0.0007723,0.0007723,0.0007723
25,98.8137,1.51644,8.46696,1.5234,0.73046,0.31173,0.3788,0.18775,1.88017,10.9841,1.82218,0.0007624,0.0007624,0.0007624
