epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7049,2.00381,14.3263,2.00982,0.01496,0.10714,0.03786,0.01883,2.21513,10.7785,2.46721,0.0810609,0.000191304,0.000191304
2,34.61,1.8042,4.81766,1.7694,0.82512,0.08333,0.12586,0.02133,2.47193,5.72244,2.15819,0.0612583,0.000388722,0.000388722
