epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6776,2.1402,23.6441,1.77135,0.33258,0.27629,0.13668,0.04992,2.14555,20.875,1.91796,0.0802566,0.000199429,0.000199429
2,68.7746,2.0105,19.338,1.71824,0.28027,0.45916,0.21112,0.10573,1.97582,17.7372,1.80752,0.0604526,0.000395474,0.000395474
3,100.182,2.07784,18.7136,1.79747,0.24561,0.31693,0.1635,0.07313,1.98509,24.5713,1.82927,0.0406447,0.00058756,0.00058756
4,130.5,1.99578,17.6522,1.72655,0.32794,0.34426,0.19597,0.0938,1.90601,28.7489,1.72876,0.0208328,0.000775686,0.000775686
5,161.302,2.05984,17.4507,1.76045,0.21536,0.32235,0.13756,0.07445,1.88163,27.5091,1.79279,0.00101699,0.000959851,0.000959851
6,193.012,1.98194,16.9708,1.69232,0.28114,0.38634,0.22121,0.10634,1.8895,18.9983,1.66216,0.0009505,0.0009505,0.0009505
7,224.957,1.93776,16.306,1.7386,0.2999,0.26877,0.22248,0.11624,1.83892,32.1205,1.79225,0.0009406,0.0009406,0.0009406
8,258.879,1.99034,16.1991,1.74879,0.25249,0.36943,0.17729,0.08726,1.90778,24.1542,1.76689,0.0009307,0.0009307,0.0009307
9,290.652,1.84539,15.1776,1.56643,0.2959,0.46659,0.23744,0.12172,1.78419,20.3881,1.69295,0.0009208,0.0009208,0.0009208
10,321.246,1.97161,15.6952,1.6879,0.41347,0.44668,0.21726,0.11137,1.82918,24.9636,1.66859,0.0009109,0.0009109,0.0009109
11,354.171,1.79389,15.4863,1.55971,0.48642,0.3705,0.23993,0.12457,1.75851,18.415,1.6657,0.000901,0.000901,0.000901
12,386.809,1.85197,14.7848,1.66052,0.29273,0.42449,0.24241,0.13505,1.72804,14.9979,1.61288,0.0008911,0.0008911,0.0008911
13,419.508,1.79255,14.6542,1.59218,0.51154,0.37953,0.27982,0.15477,1.73624,19.7628,1.62847,0.0008812,0.0008812,0.0008812
14,451.11,1.75952,13.997,1.55446,0.39419,0.3352,0.2957,0.15096,1.81116,19.5889,1.60736,0.0008713,0.0008713,0.0008713
15,480.985,1.86307,14.0935,1.59288,0.53973,0.4023,0.32474,0.16019,1.72795,15.6466,1.557,0.0008614,0.0008614,0.0008614
16,512.431,1.78442,14.2579,1.60375,0.48591,0.37002,0.27202,0.14497,1.71317,14.6508,1.60317,0.0008515,0.0008515,0.0008515
17,541.795,1.74646,13.5773,1.5435,0.44862,0.41103,0.27284,0.14475,1.75892,13.915,1.61549,0.0008416,0.0008416,0.0008416
18,571.208,1.79534,14.3182,1.55422,0.62812,0.28914,0.28473,0.14779,1.66772,14.7287,1.5762,0.0008317,0.0008317,0.0008317
19,600.243,1.71111,13.0197,1.51214,0.5691,0.32071,0.33286,0.17608,1.71244,12.9177,1.52256,0.0008218,0.0008218,0.0008218
20,629.293,1.75207,13.2183,1.54175,0.58772,0.40703,0.33122,0.17029,1.77342,13.9045,1.65797,0.0008119,0.0008119,0.0008119
21,660.423,1.79453,13.8853,1.5873,0.55821,0.42777,0.32599,0.17697,1.64134,15.1721,1.49114,0.000802,0.000802,0.000802
22,689.457,1.71931,13.0401,1.50591,0.54363,0.38852,0.29914,0.14952,1.68137,13.3208,1.54937,0.0007921,0.0007921,0.0007921
23,718.245,1.76862,13.4099,1.55946,0.49787,0.46894,0.32413,0.1656,1.78731,14.376,1.53644,0.0007822,0.0007822,0.0007822
24,746.848,1.72597,13.0126,1.52829,0.57855,0.42616,0.34916,0.18876,1.67085,11.7544,1.51034,0.0007723,0.0007723,0.0007723
25,775.941,1.72202,12.4606,1.5045,0.46172,0.4595,0.29867,0.16294,1.66692,14.9192,1.54973,0.0007624,0.0007624,0.0007624
26,805.748,1.81853,12.6455,1.57746,0.5022,0.40241,0.29803,0.158,1.82896,14.1853,1.59947,0.0007525,0.0007525,0.0007525
27,837.666,1.71698,12.3661,1.47311,0.50582,0.40035,0.27771,0.1424,1.74838,15.7281,1.56791,0.0007426,0.0007426,0.0007426
28,867.932,1.79678,13.0698,1.5706,0.53657,0.46272,0.32807,0.16245,1.74553,13.8736,1.54956,0.0007327,0.0007327,0.0007327
29,898.082,1.72869,12.2731,1.54172,0.35456,0.47939,0.32369,0.17722,1.60455,11.7727,1.49,0.0007228,0.0007228,0.0007228
30,929.057,1.65486,11.6975,1.50104,0.53402,0.46406,0.39425,0.22756,1.66921,11.4603,1.52493,0.0007129,0.0007129,0.0007129
31,960.652,1.71514,11.6945,1.51236,0.54428,0.4634,0.38335,0.21257,1.57943,11.1074,1.49159,0.000703,0.000703,0.000703
32,990.016,1.73956,11.9033,1.55647,0.5733,0.36825,0.32185,0.18728,1.61959,12.4598,1.47783,0.0006931,0.0006931,0.0006931
33,1019.2,1.62223,11.4398,1.45935,0.48882,0.49866,0.35327,0.18546,1.63143,11.7018,1.46807,0.0006832,0.0006832,0.0006832
34,1048.62,1.72151,11.9938,1.51797,0.60061,0.45151,0.41668,0.214,1.6785,10.5735,1.52596,0.0006733,0.0006733,0.0006733
35,1078.16,1.67713,11.7257,1.50839,0.63729,0.409,0.50519,0.31307,1.62368,11.481,1.5107,0.0006634,0.0006634,0.0006634
36,1107.36,1.68262,11.8032,1.50127,0.49077,0.44623,0.34347,0.19008,1.64016,12.7061,1.51458,0.0006535,0.0006535,0.0006535
37,1136.43,1.6455,11.0694,1.51256,0.50195,0.5184,0.36713,0.21189,1.53871,11.6164,1.43088,0.0006436,0.0006436,0.0006436
38,1165.09,1.65196,11.002,1.47341,0.52569,0.46352,0.40411,0.22707,1.61513,11.7085,1.52038,0.0006337,0.0006337,0.0006337
39,1193.65,1.64243,11.1075,1.45483,0.36028,0.51389,0.36207,0.20359,1.62944,12.0827,1.53994,0.0006238,0.0006238,0.0006238
40,1222.29,1.73316,11.9344,1.52915,0.58362,0.46471,0.52301,0.30484,1.6189,10.4831,1.4961,0.0006139,0.0006139,0.0006139
41,1250.69,1.63785,11.3377,1.42257,0.56622,0.48611,0.38985,0.21579,1.65391,10.6511,1.54896,0.000604,0.000604,0.000604
42,1279.41,1.63101,11.1395,1.45251,0.52879,0.47894,0.37464,0.19464,1.69247,10.5513,1.57587,0.0005941,0.0005941,0.0005941
43,1308.08,1.74621,11.1458,1.55064,0.5258,0.39352,0.34065,0.17847,1.77356,11.0596,1.54552,0.0005842,0.0005842,0.0005842
44,1336.39,1.64553,10.8322,1.48793,0.57847,0.46267,0.39739,0.22566,1.58859,10.8126,1.47163,0.0005743,0.0005743,0.0005743
45,1364.5,1.6174,10.9577,1.44552,0.75576,0.38762,0.41052,0.23479,1.60351,11.3271,1.53294,0.0005644,0.0005644,0.0005644
46,1392.55,1.52461,10.112,1.4232,0.56281,0.43612,0.37246,0.22219,1.55874,11.2472,1.48604,0.0005545,0.0005545,0.0005545
47,1421.33,1.61387,10.6754,1.49131,0.57729,0.49392,0.38844,0.21977,1.57373,11.5807,1.49027,0.0005446,0.0005446,0.0005446
48,1449.92,1.61834,10.4704,1.43613,0.60272,0.4086,0.38453,0.20739,1.6777,10.3909,1.52919,0.0005347,0.0005347,0.0005347
49,1478.22,1.51555,9.48531,1.36329,0.60192,0.43607,0.39879,0.22751,1.51988,10.0555,1.46912,0.0005248,0.0005248,0.0005248
50,1506.73,1.6206,10.1449,1.44348,0.41856,0.50778,0.409,0.22401,1.64934,11.4986,1.54144,0.0005149,0.0005149,0.0005149
51,1535.79,1.6195,10.0956,1.46968,0.5881,0.42939,0.41793,0.23729,1.65491,11.1053,1.53158,0.000505,0.000505,0.000505
52,1564.43,1.48622,9.66751,1.38761,0.61378,0.50384,0.39339,0.23495,1.5478,10.3905,1.4522,0.0004951,0.0004951,0.0004951
53,1592.81,1.5154,9.85112,1.37698,0.60176,0.49866,0.40831,0.23724,1.60448,10.0166,1.50655,0.0004852,0.0004852,0.0004852
54,1622.11,1.61869,9.94582,1.46742,0.60128,0.4108,0.39215,0.2231,1.58271,10.6492,1.49884,0.0004753,0.0004753,0.0004753
55,1651.38,1.60502,10.3911,1.4831,0.53022,0.50353,0.44017,0.25239,1.61302,10.8041,1.52073,0.0004654,0.0004654,0.0004654
56,1680.08,1.59542,10.2325,1.44752,0.27721,0.47295,0.4151,0.24811,1.44884,11.5642,1.45231,0.0004555,0.0004555,0.0004555
57,1708.8,1.5152,9.50884,1.39641,0.61067,0.49102,0.43843,0.27039,1.51993,9.57505,1.45347,0.0004456,0.0004456,0.0004456
58,1737.28,1.57947,9.79058,1.41483,0.57884,0.50711,0.4328,0.25439,1.57535,10.1503,1.50143,0.0004357,0.0004357,0.0004357
59,1766.54,1.53103,9.93144,1.43338,0.46021,0.52821,0.44266,0.26089,1.62951,10.8602,1.51686,0.0004258,0.0004258,0.0004258
60,1796.7,1.57924,9.97601,1.45334,0.55998,0.45616,0.41676,0.24766,1.5831,10.3913,1.50679,0.0004159,0.0004159,0.0004159
