epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1294,2.04675,22.9591,1.81564,0.65583,0.14952,0.20124,0.09246,1.80187,15.679,1.76011,0.0803131,0.000198857,0.000198857
2,39.9936,2.03655,19.227,1.85943,0.43728,0.16875,0.14708,0.05484,2.00548,232.342,2.07004,0.0605092,0.000394908,0.000394908
3,56.7524,2.01613,18.4059,1.92933,0.35854,0.35137,0.24122,0.12735,1.72379,18.5317,1.84635,0.0407013,0.000587,0.000587
4,72.9296,2.01942,17.8979,1.91435,0.46332,0.37116,0.24533,0.13011,1.80903,12.6665,1.79031,0.0208894,0.000775131,0.000775131
5,89.3351,1.98995,16.9851,1.92513,0.33614,0.34927,0.27277,0.13845,1.82292,14.3438,1.85286,0.00107359,0.000959302,0.000959302
6,106.209,1.95224,16.332,1.85379,0.68468,0.32569,0.27592,0.13943,1.78659,15.0251,1.79509,0.0009505,0.0009505,0.0009505
7,123.009,1.95454,16.7319,1.89305,0.55346,0.31739,0.26382,0.13591,1.75381,12.5225,1.71509,0.0009406,0.0009406,0.0009406
8,140.498,1.9244,15.7242,1.80826,0.33099,0.5179,0.3587,0.19516,1.74904,12.2977,1.72722,0.0009307,0.0009307,0.0009307
9,157.493,1.88216,14.5072,1.76354,0.45132,0.31989,0.30222,0.15511,1.69807,12.3196,1.71359,0.0009208,0.0009208,0.0009208
10,175.31,1.8939,15.2838,1.79329,0.61975,0.28719,0.33166,0.15779,1.81034,12.093,1.74279,0.0009109,0.0009109,0.0009109
11,194.335,1.88265,14.9565,1.78355,0.41556,0.49571,0.35653,0.19668,1.59308,12.2708,1.56891,0.000901,0.000901,0.000901
12,211.145,1.80012,13.7337,1.74321,0.50942,0.34897,0.34754,0.17488,1.77696,11.5771,1.67065,0.0008911,0.0008911,0.0008911
13,227.856,1.87833,13.9461,1.80363,0.52718,0.46747,0.40527,0.20465,1.71824,11.2136,1.7262,0.0008812,0.0008812,0.0008812
14,244.65,1.82326,14.2512,1.76075,0.61738,0.32456,0.31861,0.16591,1.66389,10.7661,1.74608,0.0008713,0.0008713,0.0008713
15,261.029,1.7873,14.2906,1.74971,0.78919,0.37637,0.37215,0.17463,1.86417,10.7441,1.74798,0.0008614,0.0008614,0.0008614
16,279.237,1.79945,14.4891,1.7717,0.50419,0.42379,0.33294,0.1767,1.63228,10.9702,1.65672,0.0008515,0.0008515,0.0008515
17,295.785,1.78414,13.7464,1.71494,0.54016,0.46471,0.3848,0.21875,1.66072,10.2921,1.55962,0.0008416,0.0008416,0.0008416
18,313.148,1.80391,13.5967,1.73298,0.46509,0.35206,0.34754,0.19483,1.56302,11.1041,1.58375,0.0008317,0.0008317,0.0008317
19,329.137,1.78581,13.5367,1.70401,0.64104,0.45496,0.41489,0.22988,1.61972,11.0205,1.61969,0.0008218,0.0008218,0.0008218
20,346.953,1.6912,12.8211,1.65818,0.50888,0.52857,0.44037,0.25211,1.58985,9.14717,1.54458,0.0008119,0.0008119,0.0008119
21,366.767,1.80146,13.1201,1.70022,0.72648,0.3682,0.47462,0.22801,1.85771,9.19647,1.7099,0.000802,0.000802,0.000802
22,385.863,1.70105,12.5215,1.66799,0.58744,0.53099,0.41159,0.21063,1.7816,9.37722,1.68215,0.0007921,0.0007921,0.0007921
23,404.781,1.75304,13.5042,1.72092,0.6143,0.44522,0.42344,0.23366,1.71288,10.3702,1.64844,0.0007822,0.0007822,0.0007822
24,424.716,1.70103,12.852,1.66495,0.59796,0.5473,0.44335,0.25231,1.66683,9.49818,1.61628,0.0007723,0.0007723,0.0007723
25,444.048,1.7452,12.5148,1.66493,0.72347,0.52403,0.47537,0.31059,1.49103,9.14904,1.54989,0.0007624,0.0007624,0.0007624
26,463.089,1.69301,12.3178,1.62394,0.41262,0.51813,0.45671,0.27184,1.5144,9.14224,1.52527,0.0007525,0.0007525,0.0007525
27,483.014,1.65625,11.881,1.60183,0.38876,0.48984,0.39668,0.22309,1.52449,9.57326,1.58223,0.0007426,0.0007426,0.0007426
28,503.377,1.66354,12.248,1.64947,0.64502,0.46481,0.45013,0.27002,1.57688,9.29718,1.53982,0.0007327,0.0007327,0.0007327
29,522.758,1.71698,11.6855,1.6503,0.62003,0.45238,0.45172,0.25588,1.67499,9.36432,1.58021,0.0007228,0.0007228,0.0007228
30,542.495,1.72112,12.5077,1.6557,0.62868,0.4924,0.44135,0.24528,1.62167,9.35574,1.58077,0.0007129,0.0007129,0.0007129
31,562.225,1.69905,11.9769,1.64902,0.62609,0.55808,0.50082,0.30911,1.48769,8.69192,1.5076,0.000703,0.000703,0.000703
32,581.646,1.69073,11.8739,1.65265,0.41174,0.48734,0.47655,0.2767,1.63911,9.23608,1.60428,0.0006931,0.0006931,0.0006931
