epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,158.294,1.60494,14.4097,1.84751,0.29531,0.2619,0.15128,0.06074,1.67702,16.0999,1.97811,0.00029705,0.00029705,0.00029705
43,162.047,1.60155,13.3303,1.84559,0.30346,0.28781,0.21174,0.0926,1.8001,15.6712,2.00822,0.0002921,0.0002921,0.0002921
44,165.79,1.78701,16.1111,2.0372,0.28674,0.29762,0.14278,0.06795,1.84525,17.7024,2.08662,0.00028715,0.00028715,0.00028715
45,169.515,1.61181,16.04,1.76187,0.30919,0.29762,0.15905,0.08378,1.89983,18.3797,2.05237,0.0002822,0.0002822,0.0002822
46,173.359,1.52167,14.1418,1.80521,0.32528,0.32078,0.16405,0.09168,1.8492,17.2818,2.00826,0.00027725,0.00027725,0.00027725
47,177.047,1.40419,14.489,1.62398,0.34648,0.34524,0.20951,0.09982,1.7397,16.3818,1.89376,0.0002723,0.0002723,0.0002723
48,180.834,1.53025,14.9963,1.79039,0.43644,0.26587,0.24325,0.11398,1.64512,16.0326,1.83719,0.00026735,0.00026735,0.00026735
49,184.577,1.53984,13.0552,1.77116,0.30321,0.26587,0.20533,0.10074,1.60687,17.2069,1.80176,0.0002624,0.0002624,0.0002624
50,188.277,1.50681,13.5518,1.72915,0.3542,0.30315,0.22304,0.10065,1.73161,17.0308,1.89091,0.00025745,0.00025745,0.00025745
51,192.041,1.78883,14.3622,1.91998,0.29994,0.25754,0.16815,0.07356,1.85403,17.6965,1.99313,0.0002525,0.0002525,0.0002525
52,195.779,1.57289,13.5643,1.80668,0.29884,0.26587,0.17853,0.07626,1.89453,18.1596,1.98559,0.00024755,0.00024755,0.00024755
53,199.502,1.65518,15.9765,1.77312,0.16815,0.28634,0.17583,0.08293,1.72411,16.1589,1.91653,0.0002426,0.0002426,0.0002426
54,203.181,1.30818,15.1588,1.40937,0.37821,0.34171,0.22805,0.10584,1.68163,15.5489,1.9243,0.00023765,0.00023765,0.00023765
55,206.914,1.41907,12.6939,1.66096,0.32709,0.41064,0.19255,0.09331,1.61103,16.1905,1.89985,0.0002327,0.0002327,0.0002327
56,210.638,1.50043,15.3045,1.71159,0.38846,0.4327,0.30939,0.1387,1.55783,18.1834,1.88884,0.00022775,0.00022775,0.00022775
57,214.395,1.63264,14.7531,1.78412,0.42645,0.44841,0.30226,0.13565,1.48594,14.9496,1.82243,0.0002228,0.0002228,0.0002228
58,218.125,1.43685,14.7339,1.65907,0.39899,0.31349,0.30685,0.12953,1.52184,15.1118,1.81486,0.00021785,0.00021785,0.00021785
59,221.987,1.41703,13.0829,1.64833,0.58595,0.24905,0.28966,0.12705,1.53882,14.9148,1.82916,0.0002129,0.0002129,0.0002129
60,225.802,1.59149,12.7868,1.70958,0.52163,0.21825,0.31156,0.13998,1.69337,14.256,1.96622,0.00020795,0.00020795,0.00020795
61,229.681,1.55805,14.0134,1.65744,0.50534,0.21158,0.28878,0.11413,1.75471,15.4357,2.02708,0.000203,0.000203,0.000203
62,233.742,1.33676,11.9606,1.46053,0.56971,0.27786,0.27296,0.11273,1.7695,15.2788,2.04854,0.00019805,0.00019805,0.00019805
63,237.494,1.41936,11.843,1.54881,0.45537,0.29174,0.27595,0.13411,1.6794,14.6527,1.90775,0.0001931,0.0001931,0.0001931
64,241.298,1.38656,11.5503,1.62967,0.31747,0.30617,0.26156,0.12966,1.59131,15.4392,1.82841,0.00018815,0.00018815,0.00018815
65,245.011,1.22475,10.7815,1.42922,0.652,0.31349,0.31945,0.15214,1.6681,13.6741,1.87169,0.0001832,0.0001832,0.0001832
66,248.76,1.453,11.4438,1.69435,0.599,0.24206,0.36033,0.1885,1.64015,14.3541,1.84326,0.00017825,0.00017825,0.00017825
67,252.514,1.45961,14.1217,1.61676,0.39595,0.3308,0.33418,0.17606,1.61044,14.9002,1.81537,0.0001733,0.0001733,0.0001733
68,256.25,1.36063,12.6569,1.55654,0.36617,0.36905,0.34651,0.16624,1.6818,13.561,1.84547,0.00016835,0.00016835,0.00016835
69,260.003,1.51801,12.9433,1.62371,0.60181,0.26429,0.40174,0.18848,1.66803,13.4523,1.84569,0.0001634,0.0001634,0.0001634
70,263.742,1.55386,13.7143,1.75239,0.60257,0.26587,0.40028,0.16848,1.68119,13.291,1.87777,0.00015845,0.00015845,0.00015845
71,267.453,1.37418,12.0402,1.54575,0.4742,0.36905,0.40039,0.16763,1.73512,13.7956,1.93912,0.0001535,0.0001535,0.0001535
72,271.178,1.52812,13.0259,1.65485,0.45775,0.35846,0.33194,0.12577,1.80084,15.3112,1.98516,0.00014855,0.00014855,0.00014855
73,274.938,1.66963,11.5113,1.79718,0.3494,0.34524,0.23595,0.11039,1.78601,18.6289,1.97684,0.0001436,0.0001436,0.0001436
74,278.672,1.37197,11.6023,1.62323,0.30441,0.42271,0.21555,0.10507,1.75464,21.8443,1.92618,0.00013865,0.00013865,0.00013865
